date,consumption(kWh),index type
2024-03-01,9.379,REEL
2024-03-02,60.438,REEL
2024-03-03,54.306,REEL
2024-03-04,57.302,REEL
2024-03-05,27.391,REEL
2024-03-06,21.174,REEL
2024-03-07,21.317,REEL
2024-03-08,24.402,REEL
2024-03-09,22.103,REEL
2024-03-10,22.609,REEL
2024-03-11,19.367,REEL
2024-03-12,28.797,REEL
2024-03-13,15.618,REEL
2024-03-14,22.143,REEL
2024-03-15,12.357,REEL
2024-03-16,16.983,REEL
2024-03-17,22.326,REEL
2024-03-18,11.299,REEL
2024-03-19,15.989,REEL
2024-03-20,10.425,REEL
2024-03-21,11.116,REEL
2024-03-22,6.37,REEL
2024-03-23,8.601,REEL
2024-03-24,13.935,REEL
2024-03-25,13.231,REEL
2024-03-26,13.678,REEL
2024-03-27,13.024,REEL
2024-03-28,9.601,REEL
2024-03-29,5.362,REEL
2024-03-30,13.369,REEL
